X	Y	gid	nom	prenom	temps_parc	lon	lat
969984.24221299996134	6518229.307787	35	Aubrac	Alice	30	6.471331	45.710222
955272.615678	6567290.0599279999733	14	Brelot	Ben	15	6.308819	46.157288
910770.738812	6572824.747959	1	Camus	Charles	20	5.734983	46.222424
963389.49371199996676	6566507.778559	15	Duck	Daisy	20	6.413462	46.147140
963378.995023	6570132.427702	16	Etienne	Eleonore	20	6.415357	46.179753
909308.50793199997861	6528207.78904	25	Faure	Felix	20	5.696263	45.821343
958146.912031	6557675.01988799963146	34	Goubert	Georges	20	6.340762	46.069693
919586.36752199998591	6513781.246058	36	Hesse	Hubert	20	5.821911	45.688279
926705.09869899996556	6542475.061328	40	Imbert	Ilda	20	5.926974	45.944160
954088.65413599996828	6554696.995604	44	Jacopo	Joe	20	6.286700	46.044433
952598.444827	6567291.96949199959636	46	Kostner	Kevin	20	6.274198	46.158309
963740.023745	6566704.156619	48	Lambert	Luc	20	6.418109	46.148770
977385.040873060352169	6544706.048179653473198	51	Mauduis	Marco	20	6.581790	45.945430
952609.950849607819691	6538881.18375407718122	52	Noailles	Noemie	20	6.259155	45.902687
